18,0,8,5,6,0,15,0,0,8,10,0,0,15,0,8,7,11,8,15
13,20,20,9,20,20,14,20,20,20,20,20,20,14,20,20,20,12,20,14
13,20,20,20,20,20,14,20,20,20,20,20,20,14,20,3,4,20,20,14
13,20,20,3,4,20,14,20,3,4,20,20,20,14,20,1,2,20,20,14
13,20,20,1,2,20,14,20,1,2,20,20,20,14,20,20,20,20,20,14
13,20,20,20,20,20,14,20,20,20,20,20,20,14,20,20,20,20,20,14
13,20,20,20,20,20,14,20,20,3,4,20,20,14,20,20,20,3,4,14
13,20,20,20,20,20,14,20,20,1,2,20,20,14,20,20,20,1,2,14
13,20,3,4,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,14
13,20,1,2,20,3,4,20,20,20,20,20,20,20,20,20,20,20,20,14
13,20,20,20,20,1,2,20,20,20,20,20,20,20,3,4,20,20,20,14
13,20,20,20,20,20,20,3,4,20,20,20,20,20,1,2,20,20,20,14
13,20,20,20,20,20,20,1,2,20,20,20,20,20,20,20,20,20,20,14
13,20,3,4,20,20,20,20,20,20,20,20,20,20,3,4,20,20,20,14
13,20,1,2,20,20,20,20,20,20,20,20,20,20,1,2,20,20,20,14
16,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,17
